Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów,Pojemność silnika
Toyota,Toyota Prius 1.8 HSD Premium,15900,PLN,Hybryda,341200,2012,Automatyczna,1.8
BMW,BMW X5 xDrive40d mHEV sport,261000,PLN,Diesel,115000,2021,Automatyczna,NULL
Land Rover,Land Rover Range Rover Sport S 3.0TD V6 HSE,44900,PLN,Diesel,200000,2011,Automatyczna,3.0
Audi,Audi S5 Coupé S tronic,88000,PLN,Benzyna,116000,2015,Automatyczna,NULL
Opel,Opel Zafira,6700,PLN,Benzyna+LPG,327800,2007,Manualna,NULL
Ford,Ford EcoSport,24900,PLN,Benzyna,113000,2014,Manualna,NULL
Volkswagen,Volkswagen Polo,18500,PLN,Diesel,170000,2016,Manualna,NULL
Mercedes-Benz,Mercedes-Benz GLE 250 d 4-Matic,92900,PLN,Diesel,181500,2017,Automatyczna,NULL
Renault,Renault Arkana,72999,PLN,Hybryda,98000,2023,Automatyczna,NULL
Honda,Honda CR-V 2.0 Lifestyle,95000,PLN,Benzyna,57421,2015,Manualna,2.0
Renault,Renault Scenic 1.6 dCi Energy Limited EU6,29400,PLN,Diesel,197000,2016,Manualna,1.6
Fiat,Fiat Tipo 1.4 16v Lounge,31700,PLN,Benzyna+LPG,157000,2017,Manualna,1.4
Acura,Acura MDX,39000,PLN,Benzyna,147427,2009,Automatyczna,NULL
BMW,BMW 3GT 318d Sport Line,41700,PLN,Diesel,269879,2014,Automatyczna,NULL
Mazda,Mazda 6 Sport 2.0 Dynamic,16900,PLN,Benzyna,232680,2009,Manualna,2.0
Skoda,Skoda RAPID Spb 1.4 TDI DPF Ambition DSG,24900,PLN,Diesel,202768,2016,Automatyczna,1.4
Seat,Seat Ibiza,5400,PLN,Benzyna,262000,2005,Manualna,NULL
Audi,Audi S5 Coupé 3.0 TFSI Quattro Tiptronic,99700,PLN,Benzyna,135787,2018,Automatyczna,3.0
Nissan,Nissan X-Trail 1.6 DIG-T Tekna 2WD,59900,PLN,Benzyna,142000,2017,Manualna,1.6
Kia,Kia Ceed 1.6 GDI ISG Spirit,34900,PLN,Benzyna,199000,2016,Manualna,1.6
Hyundai,Hyundai i30 1.6 GDI Premium,33900,PLN,Benzyna,175000,2013,Manualna,1.6
Ford,Ford Mondeo 2.0 TDCi Titanium,36000,PLN,Diesel,302400,2015,Manualna,2.0
Seat,Seat Toledo 1.2 TSI Entry,29900,PLN,Benzyna,146798,2016,Manualna,1.2
Land Rover,Land Rover Discovery,32000,PLN,Diesel,203291,2015,Automatyczna,NULL
Volvo,Volvo XC 90,92500,PLN,Diesel,202000,2016,Automatyczna,NULL
Suzuki,Suzuki Vitara 1.4 Boosterjet S,48900,PLN,Benzyna,152000,2017,Manualna,1.4
Volkswagen,Volkswagen Golf 1.6 TDI BMT Comfortline,39000,PLN,Diesel,1320,2018,Manualna,1.6
Skoda,Skoda Superb,26500,PLN,Benzyna,220000,2012,Manualna,NULL
Fiat,Fiat Doblo,17220,PLN,Diesel,166000,2017,Manualna,NULL
Opel,Opel Insignia 2.0 CDTI ecoFLEXStart/Stop Innovation,24900,PLN,Diesel,199000,2014,Manualna,2.0
Volkswagen,Volkswagen Golf 2.0 TDI BMT Comfortline EU6,29000,PLN,Diesel,320000,2015,Manualna,2.0
Opel,Opel Insignia 2.0 CDTI Business Edition S&S,59900,PLN,Diesel,155000,2022,Automatyczna,2.0
Peugeot,Peugeot 307 1.6,5500,PLN,Benzyna,155000,2007,Manualna,1.6
BMW,BMW X7 xDrive40d mHEV sport,556900,PLN,Diesel,7,2026,Automatyczna,NULL
Volkswagen,Volkswagen Passat,184900,PLN,Diesel,28047,2024,Automatyczna,NULL
Mercedes-Benz,Mercedes-Benz Klasa A 220 4Matic 7G-DCT AMG Line,78900,PLN,Benzyna,78600,2018,Automatyczna,NULL
BMW,BMW X5 xDrive25d,79900,PLN,Diesel,220415,2014,Automatyczna,NULL
Skoda,Skoda Superb,70000,PLN,Benzyna,181599,2016,Automatyczna,NULL
Skoda,Skoda Fabia,38000,PLN,Benzyna,157563,2020,Manualna,NULL
Opel,Opel Insignia 2.0 CDTI,8000,PLN,Diesel,400000,2009,Manualna,2.0
Audi,Audi A4 Avant 1.9 TDI,2700,PLN,Diesel,356023,1999,Manualna,1.9
Renault,Renault Clio 1.5 dCi Intens,22400,PLN,Diesel,190000,2017,Manualna,1.5
Opel,Opel Astra 1.7 CDTI,8900,PLN,Diesel,225625,2010,Manualna,1.7
Opel,Opel Corsa 1.6 Turbo GSi,9500,PLN,Benzyna,211000,2008,Manualna,1.6
Nissan,Nissan Qashqai 1.6 DCi Xtronic N-Connecta,42700,PLN,Diesel,146000,2014,Automatyczna,1.6
Peugeot,Peugeot 2008,26900,PLN,Benzyna,96000,2013,Manualna,NULL
Kia,Kia Stonic 1.2 L Business Line,59900,PLN,Benzyna,3300,2023,Manualna,1.2
Opel,Opel Crossland X,46601,PLN,Benzyna,95000,2021,Automatyczna,NULL
Kia,Kia Sportage,39900,PLN,Benzyna,137000,2014,Manualna,NULL
Mercedes-Benz,Mercedes-Benz Klasa E 500 4-Matic Avantgarde,44800,PLN,Benzyna,230503,2011,Automatyczna,NULL
Kia,Kia Ceed 1.4 T-GDI OPF Spirit,52900,PLN,Benzyna,109896,2019,Manualna,1.4
Opel,Opel Zafira,9900,PLN,Diesel,220000,2010,Manualna,NULL
Nissan,Nissan Qashqai 1.6 dCi Xtronic TEKNA+,49999,PLN,Diesel,169000,2017,Automatyczna,1.6
Skoda,Skoda Octavia,34500,PLN,Diesel,198000,2015,Manualna,NULL
Hyundai,Hyundai i10 1.1 Classic +,6300,PLN,Benzyna,147000,2011,Manualna,1.1
Opel,Opel Mokka 1.6 CDTI ecoFLEX Start/Stop Color Innovation,33999,PLN,Diesel,160000,2016,Manualna,1.6
Hyundai,Hyundai Tucson blue 1.6 GDi 2WD Navi,53999,PLN,Benzyna,169999,2015,Manualna,1.6
Skoda,Skoda Fabia 1.0 Ambition,34900,PLN,Benzyna+LPG,133000,2020,Manualna,1.0
Opel,Opel Mokka 1.4 Turbo ecoFLEX Start/Stop Color Innovation,49999,PLN,Benzyna,156000,2017,Manualna,1.4
Suzuki,Suzuki Swift 1.2 Dualjet Hybrid CVT Comfort,51900,PLN,Benzyna,50000,2020,Automatyczna,1.2
Honda,Honda Civic 1.8 Comfort,18500,PLN,Benzyna+LPG,245589,2010,Manualna,1.8
Skoda,Skoda Octavia 2.0 TDI DPF Team Edition,14900,PLN,Diesel,332719,2012,Manualna,2.0
Ford,Ford Fiesta 1.6 TDCi Trend,11900,PLN,Diesel,222540,2010,Manualna,1.6
Audi,Audi A4 Limousine 2.0 TFSI Quattro Sport S tronic,103999,PLN,Benzyna,120300,2020,Automatyczna,2.0
Seat,Seat Ateca 1.5 Eco TSI Xcellence S&S,59999,PLN,Benzyna,179900,2019,Manualna,1.5
Volvo,Volvo XC 40 D4 AWD R-Design,107010,PLN,Diesel,113231,2018,Automatyczna,NULL
Peugeot,Peugeot 2008,31999,PLN,Benzyna,136610,2018,Manualna,NULL
Opel,Opel Mokka 1.4 T Enjoy S&S 4x4,32990,PLN,Benzyna,161000,2013,Manualna,1.4
Renault,Renault Clio,4999,PLN,Benzyna,170000,2006,Manualna,NULL
Volkswagen,Volkswagen Golf 2.0 TSI OPF DSG GTI Clubsport,139990,PLN,Benzyna,43000,2023,Automatyczna,2.0
Nissan,Nissan Juke 1.6 Shiro CVT,29800,PLN,Benzyna,241000,2012,Automatyczna,1.6
Opel,Opel Astra 1.6 Active,11500,PLN,Benzyna,220000,2011,Manualna,1.6
Hyundai,Hyundai ix20 1.4 blue YES Gold,29600,PLN,Benzyna,189000,2015,Manualna,1.4
Nissan,Nissan Qashqai,43000,PLN,Benzyna,64580,2015,Automatyczna,NULL
Skoda,Skoda Octavia,77998,PLN,Diesel,120836,2023,Automatyczna,NULL
Toyota,Toyota Corolla,49500,PLN,Benzyna,73413,2019,Manualna,NULL
Mercedes-Benz,Mercedes-Benz Klasa C,24000,PLN,Benzyna,251101,2008,Manualna,NULL
Volkswagen,Volkswagen Golf Variant,79998,PLN,Benzyna,85485,2023,Automatyczna,NULL
Volkswagen,Volkswagen Passat Variant,74999,PLN,Diesel,162079,2023,Automatyczna,NULL
Honda,Honda HR-V,92998,PLN,Hybryda,60067,2022,Automatyczna,NULL
Ford,Ford Transit Kombi L2H2 Trend,32500,PLN,Diesel,304240,2013,Manualna,NULL
Skoda,Skoda Octavia,107999,PLN,Benzyna,46199,2025,Automatyczna,NULL
Hyundai,Hyundai Tucson,63000,PLN,Benzyna,51714,2017,Manualna,NULL
Volkswagen,Volkswagen Passat Variant,69499,PLN,Diesel,158245,2022,Automatyczna,NULL
Kia,Kia ProCeed,90000,PLN,Benzyna,126140,2023,Automatyczna,NULL
Volkswagen,Volkswagen Golf,69999,PLN,Benzyna,137929,2023,Automatyczna,NULL
Nissan,Nissan Patrol,39800,PLN,Diesel,240588,2004,Manualna,NULL
BMW,BMW Seria 1 120d,6800,PLN,Diesel,200000,2008,Manualna,NULL
Dacia,Dacia Sandero 1.0 SCe Open,29900,PLN,Benzyna,62000,2019,Manualna,1.0
Audi,Audi A4 Avant 2.0 TDI Design,24800,PLN,Diesel,239428,2018,Manualna,2.0
Toyota,Toyota Corolla,67999,PLN,Benzyna,96040,2022,Automatyczna,NULL
Mazda,Mazda CX-5 2.2 D Skypassion,22500,PLN,Diesel,176826,2015,Automatyczna,2.2
Volvo,Volvo V40 D3 Drive-E R-Design Kinetic,74900,PLN,Diesel,46670,2019,Manualna,NULL
Toyota,Toyota Prius Hybrid Comfort,45000,PLN,Hybryda,379075,2017,Automatyczna,NULL
Opel,Opel Mokka 1.4 T Cosmo S&S,45900,PLN,Benzyna,98000,2015,Manualna,1.4
Infiniti,Infiniti Q30 1.6t DCT Premium,60000,PLN,Benzyna,44500,2017,Automatyczna,1.6
BMW,BMW Seria 3,79000,PLN,Hybryda Plug-in,196000,2022,Automatyczna,NULL
Renault,Renault Clio 1.5 dCi Dynamique,5800,PLN,Diesel,135700,2005,Manualna,1.5
Fiat,Fiat Freemont 2.0 Multijet 16V DPF,23500,PLN,Diesel,211000,2011,Manualna,2.0
Opel,Opel Mokka X 1.4 (ecoFLEX) ECOTEC Start/Stop Color Innovation,44800,PLN,Benzyna,188000,2018,Manualna,1.4
Toyota,Toyota Aygo Cool,10400,PLN,Benzyna,89000,2008,Manualna,NULL
Volkswagen,Volkswagen Arteon Shooting Brake,189900,PLN,Benzyna,22363,2024,Automatyczna,NULL
Seat,Seat Leon,43500,PLN,Benzyna,171600,2014,Manualna,NULL
Peugeot,Peugeot 508 HDi FAP 160 Allure,17000,PLN,Diesel,245000,2011,Manualna,NULL
Audi,Audi A5 Sportback 35 TDI S tronic design,92000,PLN,Diesel,74500,2018,Automatyczna,NULL
Renault,Renault Laguna 2.0 DCi Privilege,7200,PLN,Diesel,279966,2007,Manualna,2.0
Opel,Opel Astra 1.6 CDTI Sport,19000,PLN,Diesel,305740,2015,Manualna,1.6
Ford,Ford Galaxy 2.0 TDCi Platinium X,24500,PLN,Diesel,207000,2009,Manualna,2.0
Ford,Ford Mondeo,55400,PLN,Diesel,199500,2020,Automatyczna,NULL
Peugeot,Peugeot 308 1.6 Premium,9900,PLN,Benzyna,232800,2011,Manualna,1.6
Ford,Ford Focus 1.0 EcoBoost Trend ASS,18900,PLN,Benzyna,114270,2014,Manualna,1.0
Ford,Ford EcoSport 1.0 EcoBoost TITANIUM,52500,PLN,Benzyna,23800,2022,Manualna,1.0
Renault,Renault Captur 1.0 TCe Intens,39900,PLN,Benzyna,91741,2019,Manualna,1.0
Microcar,Microcar M.GO,34900,PLN,Diesel,23891,2023,Automatyczna,NULL
BMW,BMW X5,79000,PLN,Benzyna,93435,2015,Automatyczna,NULL
Jeep,Jeep Compass 2.0 CRD Limited,18800,PLN,Diesel,196900,2008,Manualna,2.0
Alfa Romeo,Alfa Romeo Stelvio V6 2.9 Bi-Turbo AT8-Q4 Quadrifoglio,159999,PLN,Benzyna,120000,2018,Automatyczna,2.9
Kia,Kia Optima 1.7 CRDI XL DCT,50000,PLN,Diesel,188588,2016,Automatyczna,1.7
Nissan,Nissan Note,21900,PLN,Diesel,184000,2015,Manualna,NULL
BMW,BMW X5 M Competition,525000,PLN,Benzyna,20000,2023,Automatyczna,NULL
Mercedes-Benz,Mercedes-Benz GLA 180 7G-DCT Urban,55000,PLN,Benzyna,189000,2015,Automatyczna,NULL
Toyota,Toyota Corolla Verso 1.8 Prestige,15499,PLN,Benzyna,187200,2005,Manualna,1.8
Peugeot,Peugeot 2008 1.2 Pure Tech Crossway S&S,24999,PLN,Benzyna,135480,2015,Manualna,1.2
Opel,Opel Zafira Tourer 1.4 Turbo ecoFLEX Start/Stop Innovation,41100,PLN,Benzyna,84640,2016,Manualna,1.4
Toyota,Toyota GR86,108000,PLN,Benzyna,62530,2022,Automatyczna,NULL
Nissan,Nissan Juke 1.2 DIG-T Dynamic Edition EU6,33600,PLN,Benzyna,87000,2017,Manualna,1.2
Seat,Seat Ibiza 1.2 TSI FR,27900,PLN,Benzyna,139000,2015,Manualna,1.2
BMW,BMW Seria 1,10500,PLN,Diesel,260000,2009,Manualna,NULL
Volkswagen,Volkswagen Passat 1.4 TSI ACT (BlueMotion Technology) Comfortline,49999,PLN,Benzyna,132625,2014,Manualna,1.4
Lexus,Lexus IS 300h Prestige,114900,PLN,Hybryda,64000,2019,Automatyczna,NULL
Porsche,Porsche 718 Cayman GPF GTS PDK,296000,PLN,Benzyna,65000,2019,Automatyczna,NULL
Volkswagen,Volkswagen Golf 1.9 TDI Tour Edition,12900,PLN,Diesel,258164,2007,Manualna,1.9
BMW,BMW X5,360456,PLN,Benzyna,29671,2025,Automatyczna,NULL
Opel,Opel Insignia 1.5 Direct InjectionTurbo Business Innovation,52890,PLN,Benzyna,148000,2019,Manualna,1.5
Mercedes-Benz,Mercedes-Benz GLA 200 d AMG Line,69900,PLN,Diesel,135922,2018,Manualna,NULL
Renault,Renault Captur ENERGY dCi 90 Start&Stop Expression,28900,PLN,Diesel,138000,2015,Manualna,NULL
Hyundai,Hyundai Tucson 1.6 GDi Style 2WD,63999,PLN,Benzyna,138263,2019,Manualna,1.6
Seat,Seat Leon,39000,PLN,Diesel,242156,2013,Manualna,NULL
Nissan,Nissan Tiida,9900,PLN,Benzyna,123200,2008,Manualna,NULL
Skoda,Skoda Octavia 1.6 TDI Ambiente,14900,PLN,Diesel,218700,2011,Manualna,1.6
Citroën,Citroën C3,44900,PLN,Benzyna,60000,2021,Automatyczna,NULL
Nissan,Nissan Qashqai 1.6 Tekna,15900,PLN,Benzyna,280820,2007,Manualna,1.6
Skoda,Skoda Fabia 1.2 TSI Style,37800,PLN,Benzyna,53000,2017,Manualna,1.2
Ford,Ford Transit,29500,PLN,Benzyna,13000,1967,Manualna,NULL
Citroën,Citroën C5 2.2 HDi Exclusive,43500,PLN,Diesel,131000,2015,Automatyczna,2.2
Seat,Seat Leon,29500,PLN,Diesel,220000,2017,Manualna,NULL
Peugeot,Peugeot iOn,23900,PLN,Elektryczny,63000,2016,Automatyczna,NULL
Mazda,Mazda MX-5 1.6i 16V,20200,PLN,Benzyna,161000,1999,Manualna,1.6
Toyota,Toyota Sienna,119000,PLN,Benzyna,39070,2020,Automatyczna,NULL
MINI,MINI Cooper 50 Camden,12800,PLN,Benzyna,199000,2007,Manualna,NULL
Volkswagen,Volkswagen Multivan 2.0 TDI L1 Trendline 4Motion DSG,104895,PLN,Diesel,190000,2017,Automatyczna,2.0
Mazda,Mazda 6,4999,PLN,Benzyna,276368,2006,Manualna,NULL
Volkswagen,Volkswagen Caddy,52900,PLN,Diesel,135443,2016,Automatyczna,NULL
Mitsubishi,Mitsubishi Outlander 2.2 DID Instyle NAVI EU5,25900,PLN,Diesel,334500,2011,Manualna,2.2
Opel,Opel Astra,30899,PLN,Diesel,231000,2016,Manualna,NULL
Opel,Opel Vivaro L2H1,18900,PLN,Diesel,300000,2003,Manualna,NULL
Renault,Renault Trafic,69900,PLN,Diesel,169000,2018,Manualna,NULL
Peugeot,Peugeot Partner,52900,PLN,Diesel,252000,2018,Automatyczna,NULL
Opel,Opel Mokka 1.6 CDTI ecoFLEX Start/Stop 4x4 Innovation,32900,PLN,Diesel,175000,2015,Manualna,1.6
Ford,Ford Kuga 2.0 TDCi 4x4 Titanium,51900,PLN,Diesel,184000,2017,Manualna,2.0
Renault,Renault Captur 1.3 TCe mHEV Intens EDC,64900,PLN,Benzyna,120000,2021,Automatyczna,1.3
Ford,Ford C-MAX,18900,PLN,Benzyna,132000,2013,Manualna,NULL
Opel,Opel Combo,45900,PLN,Diesel,172000,2018,Manualna,NULL
DS Automobiles,DS Automobiles DS 4,44500,PLN,Diesel,116000,2017,Automatyczna,NULL
Opel,Opel Mokka,38900,PLN,Benzyna,109000,2014,Manualna,NULL
Skoda,Skoda Fabia 1.2 TSI Active,27200,PLN,Benzyna,113000,2015,Manualna,1.2
Volkswagen,Volkswagen Caddy 2.0 (7-Si.) DSG Maxi Comfortline,87900,PLN,Diesel,99380,2020,Automatyczna,2.0
Seat,Seat Leon 1.5 TSI ACT OPF FR,48900,PLN,Benzyna,119434,2020,Manualna,1.5
Porsche,Porsche 928,81000,PLN,Benzyna,150000,1983,Automatyczna,NULL
Renault,Renault Scenic,23500,PLN,Diesel,183645,2015,Manualna,NULL
Peugeot,Peugeot 2008 1.2 PureTech Allure S&S,31999,PLN,Benzyna,115494,2018,Manualna,1.2
Renault,Renault Clio ver-1-0-sce-life,51900,PLN,Benzyna,25000,2024,Manualna,NULL
BMW,BMW Seria 3 320d xDrive M Sport sport,179800,PLN,Diesel,150000,2025,Automatyczna,NULL
Seat,Seat Ibiza 1.0 Eco TSI S&S CONNECT,27900,PLN,Benzyna,101872,2016,Manualna,1.0
Renault,Renault Scenic,24900,PLN,Benzyna,198281,2016,Manualna,NULL
Nissan,Nissan Micra 1.2 Plus,3999,PLN,Benzyna,236200,2004,Manualna,1.2
Renault,Renault Megane,32900,PLN,Benzyna,118577,2018,Manualna,NULL
BMW,BMW Seria 1 116i Edition M Sport Shadow,36990,PLN,Benzyna,216000,2016,Manualna,NULL
Renault,Renault Clio,35000,PLN,Diesel,120000,2020,Manualna,NULL
Mercedes-Benz,Mercedes-Benz Klasa E 300 9G-TRONIC,110000,PLN,Benzyna,172010,2019,Automatyczna,NULL
Volkswagen,Volkswagen Golf 1.4 TSI BMT Highline,58000,PLN,Benzyna,76400,2017,Manualna,1.4
Honda,Honda e Advance,82999,PLN,Elektryczny,34690,2022,Automatyczna,NULL
Hyundai,Hyundai i30 1.4 T-GDI N-Line,59000,PLN,Benzyna,157147,2019,Manualna,1.4
BMW,BMW Seria 2,44900,PLN,Hybryda Plug-in,119435,2017,Automatyczna,NULL
Citroën,Citroën C3 Picasso 1.6i Exclusive,9000,PLN,Benzyna,215407,2010,Manualna,1.6
Toyota,Toyota Aygo 1.0 VVT-i JBL Edition,36200,PLN,Benzyna,25000,2019,Manualna,1.0
Opel,Opel Insignia 2.0 CDTI,25000,PLN,Diesel,128000,2013,Automatyczna,2.0
Ford,Ford Focus,22900,PLN,Diesel,169756,2014,Automatyczna,NULL
Chevrolet,Chevrolet Aveo 1.6 LTZ,14900,PLN,Benzyna,123185,2012,Manualna,1.6
Seat,Seat Leon,53900,PLN,Benzyna,239765,2020,Automatyczna,NULL
Opel,Opel Crossland X 1.2 T 120 Lat S&S,32990,PLN,Benzyna,139999,2018,Manualna,1.2
Volkswagen,Volkswagen Touareg,169990,PLN,Benzyna,29992,2020,Automatyczna,NULL
Peugeot,Peugeot Partner 1.6 Mistral,15999,PLN,Benzyna,211000,2008,Manualna,1.6
Dodge,Dodge Challenger 6.4 Scat Pack,230000,PLN,Benzyna,12500,2023,Automatyczna,6.4
Audi,Audi A6 Avant,9000,PLN,Diesel,375371,2007,Automatyczna,NULL
Kia,Kia Picanto 1.2 ISG Dream-Team Edition,33900,PLN,Benzyna,70761,2017,Manualna,1.2
Volkswagen,Volkswagen Tiguan,28900,PLN,Diesel,33200,2024,Automatyczna,NULL
Nissan,Nissan Qashqai,39999,PLN,Benzyna,110000,2016,Manualna,NULL
Renault,Renault Megane 1.6 TCe GT EDC,42900,PLN,Benzyna,179000,2017,Automatyczna,1.6
Renault,Renault Modus 1.2 Pack Expression,5200,PLN,Benzyna,186000,2004,Manualna,1.2
Kia,Kia Sportage 1.6 T-GDI MHEV GT Line 2WD DCT,119999,PLN,Benzyna,49169,2024,Automatyczna,1.6
Mazda,Mazda CX-5 2.2 D Skypassion AWD,59000,PLN,Diesel,232000,2017,Manualna,2.2
Nissan,Nissan Juke 1.5 dCi Acenta,23900,PLN,Diesel,190876,2014,Manualna,1.5
Fiat,Fiat Sedici,17900,PLN,Benzyna,200000,2011,Manualna,NULL
Renault,Renault Clio TCe 90 Limited,20500,PLN,Benzyna,188000,2012,Manualna,NULL
Hyundai,Hyundai i30 1.4 Style,29500,PLN,Benzyna,122000,2014,Manualna,1.4
Opel,Opel Mokka 1.4 Turbo ecoFLEX Start/Stop 4x4 Color Innovation,43800,PLN,Benzyna,139000,2016,Manualna,1.4
Fiat,Fiat Qubo,18500,PLN,Diesel,147000,2014,Manualna,NULL
Ford,Ford Fiesta 1.4 Titanium EU5,16490,PLN,Benzyna,171000,2011,Manualna,1.4
Fiat,Fiat Ducato L2,19999,PLN,Diesel,320000,2009,Manualna,NULL
Ford,Ford Kuga 2.0 TDCi AWD ST-Line,63900,PLN,Diesel,144444,2017,Automatyczna,2.0
Renault,Renault Clio,10999,PLN,Diesel,246000,2009,Manualna,NULL
Toyota,Toyota Corolla 1.8 Hybrid Executive,92000,PLN,Hybryda,75000,2021,Automatyczna,1.8
Kia,Kia XCeed 1.5 T-GDI L,85900,PLN,Benzyna,54000,2023,Manualna,1.5
Opel,Opel Astra 1.4 T Enjoy,19900,PLN,Benzyna,196168,2013,Manualna,1.4
Mazda,Mazda CX-3 1.5 D Skypassion i-ELoop AWD,44900,PLN,Diesel,141919,2016,Manualna,1.5
Infiniti,Infiniti QX30,57500,PLN,Benzyna,130783,2017,Automatyczna,NULL
Fiat,Fiat Ducato L2,21999,PLN,Diesel,163000,2009,Manualna,NULL
Hyundai,Hyundai Tucson 1.6 Turbo 4WD DCT Premium,64800,PLN,Benzyna,151000,2017,Automatyczna,1.6
Mercedes-Benz,Mercedes-Benz GLA 45 AMG 4-Matic,89500,PLN,Benzyna,163210,2015,Automatyczna,NULL
Jeep,Jeep Renegade 1.4 MultiAir Limited FWD S&S,46000,PLN,Benzyna,151940,2015,Manualna,1.4
Audi,Audi A4 Avant,13500,PLN,Diesel,261000,2007,Manualna,NULL
Kia,Kia ProCeed 1.5 T-GDI GT Line DCT,95000,PLN,Benzyna,40100,2022,Automatyczna,1.5
Renault,Renault Clio 1.5 dCi Alize,4999,PLN,Diesel,235000,2006,Manualna,1.5
Audi,Audi Q8 60 TFSI e PHEV Quattro Tiptronic,353408,PLN,Hybryda Plug-in,56353,2024,Automatyczna,NULL
Opel,Opel Astra,9999,PLN,Diesel,198000,2009,Manualna,NULL
Skoda,Skoda Octavia,43900,PLN,Diesel,182818,2016,Manualna,NULL
Kia,Kia Ceed 1.0 T-GDI S,42000,PLN,Benzyna,80325,2020,Manualna,1.0
Ford,Ford Focus 1.5 EcoBoost Start-Stopp-System Sport,30400,PLN,Benzyna,134300,2015,Manualna,1.5
BMW,BMW Seria 4 420d xDrive,85000,PLN,Diesel,145000,2017,Automatyczna,NULL
Chevrolet,Chevrolet Epica 2.0 LT,11999,PLN,Benzyna,212000,2009,Manualna,2.0
BMW,BMW X3 xDrive20i M Sport Edition,112900,PLN,Benzyna,100973,2019,Automatyczna,NULL
Opel,Opel Combo,5700,PLN,Benzyna,219000,2003,Manualna,NULL
Renault,Renault Clio 1.0 TCe Zen,45800,PLN,Benzyna+LPG,76000,2020,Manualna,1.0
Ford,Ford S-Max 2.0 TDCi Titanium,62900,PLN,Diesel,153433,2018,Automatyczna,2.0
Skoda,Skoda Superb 2.0 TDI Style DSG,59900,PLN,Diesel,177000,2016,Automatyczna,2.0
Jeep,Jeep Compass 2.0 MJD Trailhawk 4WD S&S,62999,PLN,Diesel,157196,2018,Automatyczna,2.0
BMW,BMW Seria 3,27000,PLN,Diesel,257000,2009,Automatyczna,NULL
Honda,Honda CR-V 1.5 Executive (Honda Connect+),105900,PLN,Benzyna,120000,2020,Manualna,1.5
Audi,Audi A3 Sportback 2.0 TDI Ambiente,45000,PLN,Diesel,304000,2013,Manualna,2.0
Volkswagen,Volkswagen Passat 1.8 TSI Highline,29999,PLN,Benzyna,186000,2011,Manualna,1.8
Audi,Audi A4 Limousine,59000,PLN,Benzyna,106564,2015,Automatyczna,NULL
Opel,Opel Corsa,9000,PLN,Benzyna,249893,2011,Manualna,NULL
Kia,Kia Ceed 1.5 T-GDI M,59600,PLN,Benzyna,124000,2022,Manualna,1.5
Audi,Audi A4 Limousine,8500,PLN,Benzyna,166000,2005,Manualna,NULL
Toyota,Toyota Corolla,29900,PLN,Benzyna,115000,2022,Manualna,NULL
Opel,Opel Astra 1.6 Enjoy,9600,PLN,Benzyna,232462,2008,Manualna,1.6
Jeep,Jeep Compass,68999,PLN,Benzyna,174000,2021,Automatyczna,NULL
Porsche,Porsche Macan GTS PDK,114900,PLN,Benzyna,156000,2016,Automatyczna,NULL
Hyundai,Hyundai Tucson blue 1.6 CRDi 4WD DCT Premium,64900,PLN,Diesel,156761,2019,Automatyczna,1.6
Chrysler,Chrysler Crossfire Black Line,27500,PLN,Benzyna,148000,2006,Manualna,NULL
Volvo,Volvo V60 D3 Momentum,21800,PLN,Diesel,247000,2011,Manualna,NULL
Ford,Ford Kuga,21500,PLN,Diesel,328219,2011,Manualna,NULL
Audi,Audi A4 Avant 2.0 TDI Quattro S tronic,54900,PLN,Diesel,166232,2014,Automatyczna,2.0
Renault,Renault Megane 1.6 16V 110 TomTom Edition,22999,PLN,Benzyna,135000,2013,Manualna,1.6
Opel,Opel Crossland 1.2 Automatik Business Elegance,58900,PLN,Benzyna,23000,2024,Automatyczna,1.2
Opel,Opel Zafira 1.4 Turbo (ecoFLEX) Start/Stop Innovation,29999,PLN,Benzyna,191000,2016,Manualna,1.4
Opel,Opel Astra 1.4 T Sport S&S,23999,PLN,Benzyna,148000,2014,Manualna,1.4
Lexus,Lexus UX 250h F Sport 2WD,128900,PLN,Hybryda,18921,2023,Automatyczna,NULL
Suzuki,Suzuki Vitara,69500,PLN,Benzyna,60599,2021,Manualna,NULL
Fiat,Fiat 500 1.2 Mirror Dualogic,23900,PLN,Benzyna,102729,2017,Automatyczna,1.2
Toyota,Toyota Aygo,29900,PLN,Benzyna,36612,2015,Manualna,NULL
Mitsubishi,Mitsubishi i-MiEV,9999,PLN,Elektryczny,40000,2012,Automatyczna,NULL
Volkswagen,Volkswagen Tiguan,42999,PLN,Benzyna,217999,2014,Automatyczna,NULL
Audi,Audi Q3 2.0 TDI Quattro Sport S tronic,79900,PLN,Diesel,76700,2018,Automatyczna,2.0
Ford,Ford Fiesta 1.4 Titanium,10900,PLN,Benzyna,213000,2009,Manualna,1.4
Seat,Seat Ateca 1.5 TSI FR S&S DSG,99900,PLN,Benzyna,30165,2023,Automatyczna,1.5
Citroën,Citroën DS3 1.6 THP Racing,21999,PLN,Benzyna,214000,2011,Manualna,1.6
Volvo,Volvo XC 60 B5 B Geartronic Momentum Pro,99900,PLN,Benzyna,68980,2025,Automatyczna,NULL
Seat,Seat Leon 2.0 TDI DPF Reference,18900,PLN,Diesel,236000,2010,Manualna,2.0
