Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów,Pojemność silnika
Ford,Ford Focus 2.0 EcoBoost ST mit Leder-Sport-Paket,66800,PLN,Benzyna,151657,2017,Manualna,2.0
Skoda,Skoda Fabia 1.2 TSI Comfort,12900,PLN,Benzyna,139000,2010,Manualna,1.2
Ford,Ford Fiesta,26900,PLN,Benzyna,165000,2014,Manualna,NULL
BMW,BMW Seria 7,249000,PLN,Benzyna,150000,2017,Automatyczna,NULL
BMW,BMW Seria 5 520d xDrive,46900,PLN,Diesel,237188,2016,Automatyczna,NULL
Skoda,Skoda Roomster 1.9 TDI,2000,PLN,Diesel,450000,2008,Manualna,1.9
Kia,Kia Sportage,69900,PLN,Diesel,158000,2022,Manualna,NULL
MINI,MINI ONE,55000,PLN,Benzyna,133000,2019,Manualna,NULL
Peugeot,Peugeot 308,38500,PLN,Diesel,150000,2018,Manualna,NULL
Ford,Ford S-Max 2.0 TDCi Ambiente,12500,PLN,Diesel,273000,2008,Manualna,2.0
Ford,Ford Focus,58500,PLN,Benzyna,165714,2018,Manualna,NULL
Ford,Ford Focus,57800,PLN,Benzyna,180600,2017,Manualna,NULL
Kia,Kia Soul,14444,PLN,Benzyna,168000,2009,Manualna,NULL
Volvo,Volvo XC 40 B4 B AWD Momentum,103000,PLN,Benzyna,69362,2021,Automatyczna,NULL
Ford,Ford Fiesta 1.5 TDCi S&S ST-LINE,46000,PLN,Diesel,110000,2018,Manualna,1.5
Mazda,Mazda CX-3 SKYACTIV-D 105 FWD Exclusive-Line,43500,PLN,Diesel,163000,2015,Manualna,NULL
Alfa Romeo,Alfa Romeo Giulia 2.2 AT8 Executive,56000,PLN,Diesel,110000,2017,Automatyczna,2.2
Mercedes-Benz,Mercedes-Benz GLC 200 mHEV 4-Matic AMG Line,249600,PLN,Benzyna,12480,2024,Automatyczna,NULL
Volvo,Volvo C30 D4 RDesign,41700,PLN,Diesel,179000,2011,Manualna,NULL
Opel,Opel Astra 1.6 Cosmo EU6,28500,PLN,Benzyna,84000,2015,Manualna,1.6
Mercedes-Benz,Mercedes-Benz GLB 200 d 4-Matic AMG Line 8G-DCT,122000,PLN,Diesel,123000,2020,Automatyczna,NULL
Peugeot,Peugeot 307 1.6 HDi,3550,PLN,Diesel,330743,2006,Manualna,1.6
Renault,Renault Clio 1.2 16V Alize Euro5,11400,PLN,Benzyna,185000,2012,Manualna,1.2
Porsche,Porsche 911,199900,PLN,Benzyna,82618,2005,Automatyczna,NULL
Peugeot,Peugeot 308 BlueHDi 130 Stop & Start Active,64900,PLN,Diesel,78000,2022,Manualna,NULL
